run_name,st1_frequency,st2_frequency,trial_file,st1_file,st2_file,run_dir
st1_289_hz__st2_529_hz__trial_2,289_hz,529_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/529_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_529_hz__trial_2
st1_289_hz__st2_417_hz__trial_2,289_hz,417_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/417_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_417_hz__trial_2
st1_289_hz__st2_369_hz__trial_2,289_hz,369_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/369_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_369_hz__trial_2
st1_289_hz__st2_209_hz__trial_2,289_hz,209_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/209_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_209_hz__trial_2
st1_289_hz__st2_385_hz__trial_2,289_hz,385_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/385_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_385_hz__trial_2
st1_289_hz__st2_49_hz__trial_2,289_hz,49_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/49_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_49_hz__trial_2
st1_289_hz__st2_145_hz__trial_2,289_hz,145_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/145_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_145_hz__trial_2
st1_289_hz__st2_177_hz__trial_2,289_hz,177_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/177_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_177_hz__trial_2
st1_289_hz__st2_449_hz__trial_2,289_hz,449_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/449_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_449_hz__trial_2
st1_289_hz__st2_577_hz__trial_2,289_hz,577_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/577_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_577_hz__trial_2
st1_289_hz__st2_113_hz__trial_2,289_hz,113_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/113_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_113_hz__trial_2
st1_289_hz__st2_481_hz__trial_2,289_hz,481_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/481_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_481_hz__trial_2
st1_289_hz__st2_305_hz__trial_2,289_hz,305_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/305_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_305_hz__trial_2
st1_289_hz__st2_465_hz__trial_2,289_hz,465_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/465_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_465_hz__trial_2
st1_289_hz__st2_193_hz__trial_2,289_hz,193_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/289_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/193_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_289_hz__st2_193_hz__trial_2
st1_65_hz__st2_81_hz__trial_2,65_hz,81_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/81_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_81_hz__trial_2
st1_65_hz__st2_33_hz__trial_2,65_hz,33_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/33_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_33_hz__trial_2
st1_65_hz__st2_65_hz__trial_2,65_hz,65_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_65_hz__trial_2
st1_65_hz__st2_321_hz__trial_2,65_hz,321_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/321_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_321_hz__trial_2
st1_65_hz__st2_529_hz__trial_2,65_hz,529_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/529_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_529_hz__trial_2
st1_65_hz__st2_417_hz__trial_2,65_hz,417_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/417_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_417_hz__trial_2
st1_65_hz__st2_369_hz__trial_2,65_hz,369_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/369_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_369_hz__trial_2
st1_65_hz__st2_209_hz__trial_2,65_hz,209_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/209_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_209_hz__trial_2
st1_65_hz__st2_385_hz__trial_2,65_hz,385_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/385_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_385_hz__trial_2
st1_65_hz__st2_49_hz__trial_2,65_hz,49_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/49_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_49_hz__trial_2
st1_65_hz__st2_145_hz__trial_2,65_hz,145_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/145_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_145_hz__trial_2
st1_65_hz__st2_177_hz__trial_2,65_hz,177_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/177_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_177_hz__trial_2
st1_65_hz__st2_449_hz__trial_2,65_hz,449_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/449_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_449_hz__trial_2
st1_65_hz__st2_577_hz__trial_2,65_hz,577_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/577_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_577_hz__trial_2
st1_65_hz__st2_113_hz__trial_2,65_hz,113_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/113_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_113_hz__trial_2
st1_65_hz__st2_481_hz__trial_2,65_hz,481_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/481_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_481_hz__trial_2
st1_65_hz__st2_305_hz__trial_2,65_hz,305_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/305_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_305_hz__trial_2
st1_65_hz__st2_465_hz__trial_2,65_hz,465_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/465_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_465_hz__trial_2
st1_65_hz__st2_193_hz__trial_2,65_hz,193_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/193_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_65_hz__st2_193_hz__trial_2
st1_513_hz__st2_81_hz__trial_2,513_hz,81_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/81_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_81_hz__trial_2
st1_513_hz__st2_33_hz__trial_2,513_hz,33_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/33_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_33_hz__trial_2
st1_513_hz__st2_65_hz__trial_2,513_hz,65_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/65_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_65_hz__trial_2
st1_513_hz__st2_321_hz__trial_2,513_hz,321_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/321_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_321_hz__trial_2
st1_513_hz__st2_529_hz__trial_2,513_hz,529_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/529_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_529_hz__trial_2
st1_513_hz__st2_417_hz__trial_2,513_hz,417_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/417_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_417_hz__trial_2
st1_513_hz__st2_369_hz__trial_2,513_hz,369_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/369_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_369_hz__trial_2
st1_513_hz__st2_209_hz__trial_2,513_hz,209_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/209_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_209_hz__trial_2
st1_513_hz__st2_385_hz__trial_2,513_hz,385_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/385_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_385_hz__trial_2
st1_513_hz__st2_49_hz__trial_2,513_hz,49_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/513_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/49_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_513_hz__st2_49_hz__trial_2
